price_per_meter,latitude,longitude
322581.0,55.78774,37.73269
118090.0,55.67819,37.57842
105734.0,55.83376,37.4204
146739.0,55.81464,37.64043
77533.0,55.75455,37.80567
388889.0,55.78847,37.55757
333333.0,55.78847,37.55757
136250.0,55.85058,37.68417
364509.0,55.69037,37.6388
113235.0,55.8339,37.4597
489914.0,55.71518,37.5066
305141.0,55.83123,37.50147
241634.0,55.73636,37.69488
260783.0,55.76205,37.65395
307600.0,55.58634,37.61148
315789.0,55.69076,37.53251
540958.0,55.74064,37.53827
365854.0,55.72686,37.53127
267800.0,55.75246,37.76187
498629.0,55.86061,37.55063
490500.0,55.72597,37.652
393543.0,55.78461,37.49519
81886.0,55.85859,37.66337
460735.0,55.72597,37.652
234742.0,55.77511,37.54448
269005.0,55.86159,37.67131
242000.0,55.82,37.4633
330000.0,55.85764,37.60686
126518.0,55.62788,37.51198
360360.0,55.77142,37.62936
315286.0,55.72392,37.77706
993103.0,55.74959,37.7174
374364.0,55.72214,37.61857
229730.0,55.94073,37.556
144000.0,55.77654,37.63556
421661.0,55.69759,37.63771
264921.0,55.67204,37.65167
341431.0,55.63684,37.70659
313808.0,55.7725,37.49749
594406.0,55.77487,37.60161
133320.0,55.75391,37.74933
165589.0,55.72326,37.41213
187433.0,55.63302,37.52276
222628.0,55.71313,37.45427
359016.0,55.75969,37.64719
220127.0,55.58714,37.61208
147147.0,55.7959,37.49126
223614.0,55.87354,37.7051
401700.0,55.85937,37.5513
228252.0,55.64333,37.73898
542373.0,55.71723,37.57398
390000.0,55.58189,37.58248
207504.0,55.67692,37.57807
66148.0,55.8061,37.46067
162927.0,55.80681,37.42348
606539.0,55.73024,37.6983
272950.0,55.51849,37.57003
286182.0,55.69039,37.65563
116071.0,55.86375,37.5941
1328571.0,55.85105,37.43451
556800.0,55.68906,37.6558
233580.0,55.51739,37.57241
252695.0,55.69692,37.85036
497450.0,55.64537,37.37994
47588.0,55.81051,37.63354
1300000.0,55.76127,37.55732
148020.0,55.66155,37.52679
143625.0,55.74249,37.67197
847937.0,55.70484,37.68511
374157.0,55.81087,37.52007
263158.0,55.63124,37.52029
187230.0,55.78517,37.56403
328000.0,55.74167,37.41942
918617.0,55.68674,37.46684
127551.0,55.84712,37.44066
385116.0,55.6653,37.50881
396429.0,55.77664,37.69454
420000.0,55.78151,37.57047
258398.0,55.74252,37.40417
378480.0,55.69759,37.63771
40000.0,55.85256,37.35517
57692.0,55.82229,37.65625
314548.0,55.86926,37.46342
665333.0,55.78581,37.57664
654517.0,55.80521,37.50818
97328.0,55.87071,37.71371
140365.0,55.84764,37.57282
184690.0,55.80233,37.56863
440000.0,55.62806,37.66754
453453.0,55.82427,37.41171
267229.0,55.71577,37.61217
122479.0,55.7638,37.57206
290000.0,55.85764,37.60686
576923.0,55.71069,37.60745
110345.0,55.86585,37.67456
293765.0,55.87371,37.48495
58387.0,55.68124,37.45854
923457.0,55.76654,37.59232
487730.0,55.78635,37.58644
299893.0,55.71901,37.72706
198830.0,55.72359,37.52726
333333.0,55.54293,37.54518
412902.0,55.64743,37.38631
258333.0,55.76025,37.54091
1754386.0,55.75818,37.59532
359209.0,55.74351,37.4221
448511.0,55.73672,37.74269
521591.0,55.70495,37.69615
418315.0,55.7351,37.74608
550000.0,55.79748,37.4951
346939.0,55.69989,37.92097
811250.0,55.60948,37.60177
745711.0,55.71119,37.43374
266010.0,55.79661,37.81785
268861.0,55.75511,37.65651
498664.0,55.73024,37.6983
173010.0,55.76331,37.64599
44809.0,55.64664,37.47969
200850.0,55.6281,37.64187
204682.0,55.66592,37.46959
63985.0,55.6623,37.61594
634719.0,55.75906,37.64225
558140.0,55.70736,37.75737
378788.0,55.8232,37.50433
532308.0,55.68296,37.63762
224000.0,55.82629,37.43336
97915.0,55.76121,37.61116
235294.0,55.80385,37.35111
115445.0,55.79579,37.51028
999000.0,55.75284,37.64064
222772.0,55.77384,37.58895
383333.0,55.86352,37.53946
262650.0,55.84722,37.5619
319246.0,55.87254,37.5816
404664.0,55.77656,37.69598
438525.0,55.84731,37.629
120364.0,55.67346,37.5912
226260.0,55.73111,37.45267
708955.0,55.68778,37.65472
420000.0,55.75112,37.64872
355762.0,55.8076,37.63781
369770.0,55.67626,37.64017
375950.0,55.67435,37.63864
361111.0,55.74752,37.67127
190203.0,55.59121,37.53888
674246.0,55.8103,37.52426
1130435.0,55.77463,37.6277
129234.0,55.8032,37.56373
300000.0,55.79939,37.77629
195713.0,55.78136,37.56862
538639.0,55.79171,37.50556
212876.0,55.65177,37.76994
575000.0,55.7439,37.59309
625035.0,55.79205,37.50539
442478.0,55.84429,37.37152
120588.0,55.84121,37.37693
130000.0,55.72008,37.90305
137575.0,55.74114,37.5815
75188.0,55.82086,37.63277
390389.0,55.64322,37.3801
122595.0,55.72435,37.74101
405405.0,55.7894,37.53683
270970.0,55.80555,37.48345
112994.0,55.7926,37.59079
410083.0,55.79171,37.50556
605515.0,55.73024,37.6983
459601.0,55.68823,37.65889
201863.0,55.6834,37.45955
556800.0,55.68778,37.65472
353635.0,55.76452,37.64556
498629.0,55.8604,37.54971
392196.0,55.64413,37.38062
46525.0,55.72326,37.41213
300000.0,55.71752,37.61861
149289.0,55.73986,37.67464
315000.0,55.77385,37.47341
232558.0,55.82013,37.70277
130000.0,55.76852,37.58091
254000.0,55.85831,37.48004
369240.0,55.8421,37.48852
321515.0,55.76572,37.61752
92786.0,55.68235,37.46134
347368.0,55.83394,37.46848
458913.0,55.7298,37.44267
53779.0,55.79698,37.48168
252641.0,55.50075,37.57471
702191.0,55.67629,37.77035
170718.0,55.68577,37.54793
441263.0,55.7298,37.44267
390000.0,55.78245,37.50982
38636.0,55.77786,37.49787
214724.0,55.80517,37.81315
154000.0,55.7208,37.4441
310734.0,55.73964,37.85695
364198.0,55.80567,37.71489
149648.0,55.99823,37.20649
176871.0,55.7654,37.66981
282090.0,55.74161,37.42258
245119.0,55.84803,37.42778
290000.0,55.87071,37.71371
67857.0,55.68176,37.52485
480000.0,55.68756,37.65618
546737.0,55.68674,37.46684
141675.0,55.70075,37.74675
240385.0,55.70799,37.93047
125000.0,55.66362,37.45117
335060.0,55.70473,37.7453
1000000.0,55.76782,37.63144
